binder(kg/m3),pozzolan(kg/m3),fine_aggregate(kg/m3),water(kg/m3),foaming_agent(kg/m3),measured_density(kg/m3),period_of_testing(Days),compressive_strength(MPa)
420.0,0.0,0.0,168.0,39.4,629.0,28,1.77
411.0,0.0,0.0,186.0,38.5,631.0,28,2.07
149.0,0.0,302.0,190.0,35.8,678.0,28,1.09
311.0,0.0,0.0,141.0,44.3,497.0,28,0.73
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.25
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.23
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.12
420.0,0.0,0.0,168.0,39.4,629.0,28,1.76
411.0,0.0,0.0,186.0,38.5,631.0,28,1.98
451.0,0.0,0.0,190.0,35.8,678.0,28,1.07
311.0,0.0,0.0,141.0,44.3,497.0,28,0.8
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.11
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.22
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.23
420.0,0.0,0.0,168.0,39.4,629.0,28,1.54
411.0,0.0,0.0,186.0,38.5,631.0,28,2.17
451.0,0.0,0.0,190.0,35.8,678.0,28,1.43
311.0,0.0,0.0,141.0,44.3,497.0,28,0.85
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.13
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.2
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.34
420.0,0.0,0.0,168.0,39.4,629.0,28,1.91
411.0,0.0,0.0,186.0,38.5,631.0,28,2.05
451.0,0.0,0.0,190.0,35.8,678.0,28,1.5
311.0,0.0,0.0,141.0,44.3,497.0,28,0.85
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.0
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.08
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.34
420.0,0.0,0.0,168.0,39.4,629.0,28,1.55
411.0,0.0,0.0,186.0,38.5,631.0,28,2.1
451.0,0.0,0.0,190.0,35.8,678.0,28,1.43
311.0,0.0,0.0,141.0,44.3,497.0,28,0.84
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.13
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.0
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.43
420.0,0.0,0.0,168.0,39.4,629.0,28,1.9
411.0,0.0,0.0,186.0,38.5,631.0,28,1.92
451.0,0.0,0.0,190.0,35.8,678.0,28,1.44
311.0,0.0,0.0,141.0,44.3,497.0,28,1.09
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.0
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.0
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.6
420.0,0.0,0.0,168.0,39.4,629.0,28,1.82
411.0,0.0,0.0,186.0,38.5,631.0,28,1.96
451.0,0.0,0.0,190.0,35.8,678.0,28,1.36
311.0,0.0,0.0,141.0,44.3,497.0,28,1.22
325.0,0.0,885.0,163.0,20.0,1396.0,28,0.12
844.0,0.0,0.0,484.0,8.2,1338.0,28,0.0
825.0,0.0,0.0,469.0,10.2,1304.0,28,1.5
614.6,0.0,614.6,276.57,29.5,1505.8,7,7.92
608.6,0.0,608.6,273.87,30.2,1490.96,7,8.4
606.13,0.0,606.13,272.76,30.5,1485.04,7,8.24
587.8,0.0,587.8,264.5,32.6,1440.0,7,8.0
578.7,0.0,578.7,260.42,33.6,1417.78,7,8.03
581.7,0.0,581.7,261.77,33.3,1425.19,7,8.28
710.14,0.0,710.14,319.56,18.5,1739.85,7,17.32
713.0,0.0,713.0,320.85,18.2,1746.96,7,18.42
714.3,0.0,714.3,321.44,18.1,1749.93,7,19.22
703.6,0.0,703.6,316.62,19.3,1723.85,7,17.25
699.7,0.0,699.7,314.87,19.7,1714.37,7,17.22
702.3,0.0,702.3,316.04,19.4,1720.59,7,17.48
777.4,0.0,777.4,349.83,10.8,1904.59,7,28.84
775.0,0.0,775.0,348.75,11.1,1898.67,7,23.64
789.3,0.0,789.3,355.19,9.5,1933.63,7,23.5
772.5,0.0,772.5,347.63,11.4,1892.74,7,13.66
753.2,0.0,753.2,338.94,13.6,1845.33,7,13.9
760.7,0.0,760.7,342.32,12.7,1863.7,7,14.73
784.0,0.0,392.0,352.8,24.7,1528.89,7,11.03
782.0,0.0,391.0,351.9,24.9,1525.04,7,11.51
779.0,0.0,389.5,350.55,25.2,1519.11,7,12.08
757.0,0.0,378.5,340.65,27.3,1476.15,7,12.26
760.65,0.0,380.33,342.29,27.0,1483.26,7,12.32
748.8,0.0,374.4,336.96,28.1,1460.15,7,12.13
900.0,0.0,450.0,405.0,13.6,1748.0,7,14.46
902.0,0.0,451.0,405.9,13.4,1759.11,7,18.32
908.3,0.0,454.15,408.74,12.8,1771.26,7,16.99
883.9,0.0,441.95,397.76,15.2,1723.56,7,26.0
884.6,0.0,442.3,398.07,15.1,1725.04,7,26.02
892.0,0.0,446.0,401.4,14.4,1739.26,7,26.23
987.7,0.0,493.85,444.47,5.2,1925.93,7,27.16
992.8,0.0,496.4,446.76,4.7,1936.0,7,26.98
979.8,0.0,489.9,440.91,6.0,1910.52,7,27.26
982.2,0.0,491.1,441.99,5.7,1915.26,7,24.94
958.5,0.0,479.25,431.33,8.0,1869.04,7,25.54
985.2,0.0,492.6,443.34000000000003,5.4,1921.19,7,26.09
447.6,0.0,895.2,201.42000000000002,31.9,1544.3,7,8.81
450.37,0.0,900.74,202.6665,31.5,1553.78,7,8.97
449.9,0.0,899.8,202.45499999999998,31.5,1552.0,7,7.84
439.2,0.0,878.4,197.64,33.2,1515.26,7,9.0
441.7,0.0,883.4,198.765,32.8,1523.85,7,9.5
440.32,0.0,880.64,198.144,33.0,1519.11,7,8.27
488.9,0.0,977.8,220.005,25.6,1686.52,7,10.25
485.0,0.0,970.0,218.25,26.2,1673.48,7,9.86
485.8,0.0,971.6,218.61,26.1,1675.85,7,10.56
476.4,0.0,952.8,214.38,27.5,1643.56,7,8.96
480.4,0.0,960.8,216.18,26.9,1657.48,7,9.41
479.0,0.0,958.0,215.55,27.1,1652.74,7,8.6
546.6,0.0,1093.2,245.97000000000003,16.8,1885.63,7,23.45
545.9,0.0,1091.8,245.655,16.9,1883.26,7,21.0
549.0,0.0,1098.0,247.05,16.5,1893.93,7,23.92
540.5,0.0,1081.0,243.225,17.7,1864.89,7,21.5
548.3,0.0,1096.6,246.73499999999999,16.6,1891.56,7,22.51
539.5,0.0,1079.0,242.775,17.9,1861.33,7,19.96
837.3,0.0,837.3,334.92,8.1,2009.48,7,33.96
833.8,0.0,833.8,333.52,8.5,2001.19,7,34.15
831.9,0.0,831.9,332.76,8.7,1996.44,7,33.7
826.0,0.0,826.0,330.40000000000003,9.4,1982.22,7,31.1
821.7,0.0,821.7,328.68000000000006,9.8,1972.15,7,32.16
818.0,0.0,818.0,327.20000000000005,10.3,1963.26,7,31.95
728.0,0.0,728.0,291.2,20.1,1747.26,7,21.25
724.7,0.0,724.7,289.88000000000005,20.5,1739.26,7,21.37
724.3,0.0,724.3,289.71999999999997,20.5,1738.37,7,19.68
726.0,0.0,726.0,290.40000000000003,20.4,1742.22,7,20.78
721.23,0.0,721.23,288.492,20.9,1730.96,7,22.01
724.0,0.0,724.0,289.6,20.6,1737.48,7,21.49
596.54,0.0,596.54,238.61599999999999,34.6,1431.7,7,8.64
596.9,0.0,596.9,238.76,34.5,1432.59,7,8.38
598.8,0.0,598.8,239.51999999999998,34.3,1437.04,7,8.51
586.2,0.0,586.2,234.48000000000002,35.7,1406.81,7,6.44
590.9,0.0,590.9,236.36,35.2,1418.07,7,7.25
588.15,0.0,588.15,235.26,35.5,1411.56,7,6.53
816.13,0.0,816.13,285.64549999999997,14.4,1919.7,7,34.39
829.5,0.0,829.5,290.325,13.0,1951.11,7,35.24
820.0,0.0,820.0,287.0,14.0,1928.89,7,35.56
810.2,0.0,810.2,283.57,15.0,1905.78,7,30.25
817.8,0.0,817.8,286.22999999999996,14.2,1923.56,7,29.48
819.15,0.0,819.15,286.7025,14.1,1926.81,7,31.07
747.6,0.0,747.6,261.65999999999997,21.6,1758.52,7,27.26
755.5,0.0,755.5,264.425,20.7,1777.19,7,28.94
757.8,0.0,757.8,265.22999999999996,20.5,1782.52,7,27.38
748.2,0.0,748.2,261.87,21.5,1760.0,7,24.55
742.8,0.0,742.8,259.97999999999996,22.1,1747.26,7,24.21
742.3,0.0,742.3,259.80499999999995,22.1,1746.07,7,23.7
678.6,0.0,678.6,237.51,28.8,1596.15,7,14.65
683.5,0.0,683.5,239.225,28.3,1607.7,7,16.94
688.8,0.0,688.8,241.07999999999996,27.7,1620.15,7,15.63
673.4,0.0,673.4,235.68999999999997,29.4,1584.0,7,15.19
675.0,0.0,675.0,236.24999999999997,29.2,1587.85,7,15.75
675.6,0.0,675.6,236.45999999999998,29.1,1589.04,7,16.82
861.4,0.0,861.4,258.41999999999996,13.9,1984.0,7,43.17
858.8,0.0,858.8,257.64,14.1,1978.07,7,42.11
857.26,0.0,857.26,257.178,14.3,1974.52,7,43.5
851.1,0.0,851.1,255.32999999999998,14.9,1960.3,7,40.4
853.4,0.0,853.4,256.02,14.7,1965.63,7,41.21
851.9,0.0,851.9,255.57,14.8,1962.07,7,41.13
763.9,0.0,763.9,229.17,23.6,1759.41,7,32.57
785.7,0.0,785.7,235.71,21.4,1809.78,7,33.21
773.6,0.0,773.6,232.07999999999998,22.6,1781.93,7,33.04
770.6,0.0,770.6,231.18,22.9,1774.81,7,29.12
767.2,0.0,767.2,230.16,23.3,1767.11,7,29.53
775.4,0.0,775.4,232.61999999999998,22.4,1786.07,7,28.57
692.6,0.0,692.6,207.78,30.7,1595.26,7,19.27
698.3,0.0,698.3,209.48999999999998,30.2,1608.3,7,19.84
